,show_title,genres,
306,barbie mermaid power,"Animation,Family,Fantasy ",
307,aline,"Biography,Comedy,Drama ",
308,undtagelsen,"Drama,Thriller ",
309,jackass 3.5: the unrated movie,"Documentary,Action,Comedy ",
310,selvhenter,Comedy ,
311,rupaul’s drag race: all stars,"Game-show,Reality-TV",
312,rosario tijeras (mexico),"Action,Crime,Drama ",
313,fullmetal alchemist the revenge of scar,"Action,Adventure,Fantasy ",
314,nymphomaniac: volume ii,Drama ,
315,you are not going to the right place,,
316,tamasih elnil,Comedy ,
317,maktoub aalia,"Comedy,Romance ",
318,abu sadaam,Drama ,
319,title holder,"Drama,Romance,Sport ",
320,for ziko,"Comedy,Drama ",
321,sayed the servant,Comedy ,
322,outside the curriculum,"Crime,Drama",
323,ritsa: three colors of love,"Drama,Romance ",
324,leligar,"Comedy,Drama ",
325,different experience,"Drama,Romance ",
326,manzikert 1071: doomsday for the byzantines,"History,War",
327,ahmed notre dame,"Comedy,Fantasy,Horror ",
328,my mom is a minister,"Comedy,Fantasy,Romance ",
329,the great chinese beans,Comedy ,
330,thieves in thailand,"Comedy,Drama,Family ",
331,a man wanted,"Comedy,Drama,Romance ",
332,mawlana: the preacher,"Drama,Mystery ",
333,30. มีนาคม,"Crime,Drama,Mystery ",
334,shaoming,Comedy ,
335,صاحب المقام,"Comedy,Drama ",
336,wannabe courageous,"Action,Comedy ",
337,حكايات بنات الجزء ١,"Drama,Family ",
338,al-mizan,Crime ,
339,tiller,"Drama,Horror,Mystery ",
340,راس السنة,Drama ,
341,"the good, the bad, and the playful",Comedy ,
342,love (ft. marriage and divorce),"Drama,Romance ",
343,pokémon ultimate journeys: the series,Animation ,
344,"sihja, the rebel fairy",Family ,
345,kurt cobain: montage of heck,"Documentary,Animation,Biography ",
346,ricky rapper and the strongman,"Comedy,Drama,Family ",
347,barbie epic road trip,"Animation,Short,Comedy ",
348,lol surprise! winter fashion show,"Animation,Comedy,Mystery ",
349,prince of crime,"Biography,Crime,Drama ",
350,a fist full of lead,Western ,
351,rabbids invasion special: mission to mars,"Animation,Comedy,Family ",
352,mestari cheng,"Comedy,Drama,Romance ",
353,lol surprise: the movie,"Animation,Action,Drama ",
354,on a failli être amies,"Comedy,Drama ",
355,père fils thérapie !,"Comedy,Crime ",
356,love (and trouble) in paris,"Comedy,Drama,Musical ",
357,tamara,"Drama,Fantasy,Horror ",
358,the legend of black snake,"Action,Comedy ",
359,lolo,Comedy ,
360,the hook up plan,"Comedy,Romance ",
361,"hilfe, ich hab meine freunde geschrumpft","Adventure,Comedy,Family ",
362,my name is eftihia,"Biography,Drama,Music ",
363,the bachelor 3,"Action,Comedy ",
364,the patients of dr. garcía,Drama ,
365,notes from a women salesman,"Drama,Thriller ",
366,surf's up: wave mania,"Animation,Adventure,Comedy ",
367,grindhouse: planet terror,"Action,Comedy,Horror ",
368,crank 2: high voltage,"Action,Crime,Thriller ",
369,frieren: beyond the journey's end,"Animation,Adventure,Drama ",
370,snow white & the huntsman,"Action,Adventure,Drama ",
371,a nation of kimchi,Documentary ,
372,magic and muscles,"Animation,Action,Adventure ",
373,hot stove league,"Drama,Sport",
374,high & low the worst x,Action ,
